product_name,overall_rating,no_ratings,no_reviews,avg_user_rating,rating_discrepancy,rating_discrepancy_pct
Lenovo IdeaPad Flex 5 Intel Core i3 13th Gen 1315U - (8 GB/512...,4.3,99,9,3.7777777777777777,0.5222222222222221,12.14
Lenovo Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Window...,4.1,"1,281",112,3.63,0.46999999999999975,11.46
Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (16 GB/1 TB SSD...,4.0,607,54,3.5555555555555554,0.44444444444444464,11.11
Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB S...,4.0,607,54,3.5555555555555554,0.44444444444444464,11.11
"ASUS Vivobook Go 15, with Backlit Keyboard, 12th Gen Intel Cor...",4.3,131,12,3.8333333333333335,0.46666666666666634,10.85
ASUS Vivobook 15X Intel Core i5 13th Gen 1315U - (16 GB/512 GB...,4.1,145,9,3.6666666666666665,0.4333333333333331,10.57
HP Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11...,3.8,925,69,3.4057971014492754,0.39420289855072443,10.37
Lenovo IdeaPad Slim 5 Intel Core i7 13th Gen 13700H - (16 GB/5...,4.1,151,16,3.6875,0.41249999999999964,10.06
DELL Intel Core i5 13th Gen - (16 GB/1 TB SSD/Windows 11 Home/...,4.0,97,5,3.6,0.3999999999999999,10.0
HP 15s Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Window...,4.1,481,39,3.6923076923076925,0.40769230769230713,9.94
Acer Aspire 3 Intel Core i3 12th Gen - (8 GB/512 GB SSD/Window...,4.2,755,71,3.8028169014084505,0.39718309859154965,9.46
HP Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 ...,4.3,147,10,3.9,0.3999999999999999,9.3
HP Chromebook MediaTek Kompanio 1200 - (8 GB/256 GB SSD/Chrome...,4.2,64,6,3.8333333333333335,0.3666666666666667,8.73
Acer Aspire 3 Intel Core i3 12th Gen N305 - (8 GB/512 GB SSD/W...,4.1,459,24,3.75,0.34999999999999964,8.54
HP Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 ...,4.2,503,26,3.8461538461538463,0.3538461538461539,8.42
HP G8 Intel Core i3 11th Gen 12 gen - (16 GB/512 GB SSD/Window...,4.0,90,3,3.6666666666666665,0.3333333333333335,8.33
Lenovo IdeaPad Slim 5 Intel Core i7 13th Gen 13700H - (16 GB/1...,4.2,267,15,3.8666666666666667,0.3333333333333335,7.94
ASUS Vivobook 14 Intel Core i3 13th Gen 1315U - (8 GB/512 GB S...,3.9,473,31,3.6129032258064515,0.2870967741935484,7.36
Acer Aspire 3 Spin 14 Intel Core i3 13th Gen N305 - (8 GB/512 ...,4.1,80,5,3.8,0.2999999999999998,7.32
Acer Aspire Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/W...,3.9,"1,484",124,3.62,0.2799999999999998,7.18
Lenovo IdeaPad 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB S...,4.3,"1,502",85,3.991304347826087,0.3086956521739128,7.18
"Acer Aspire Lite with Backlit Keyboard, Intel Core i7 12th Gen...",4.3,33,1,4.0,0.2999999999999998,6.98
Infinix Zero Book Ultra AI PC Intel Core Ultra 9 185H - (32 GB...,4.3,22,3,4.0,0.2999999999999998,6.98
DELL Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 1...,4.3,117,6,4.0,0.2999999999999998,6.98
Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS - (24 GB/512 GB SSD/Wi...,4.3,351,29,4.0,0.2999999999999998,6.98
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/512...,4.3,"1,502",85,4.0,0.2999999999999998,6.98
HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Wind...,4.2,379,25,3.92,0.28000000000000025,6.67
"ASUS Vivobook 16X for Creator, Intel Core i5 12th Gen 12500H -...",4.2,374,21,3.9263803680981595,0.2736196319018407,6.51
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SS...,4.3,"1,298",98,4.0198675496688745,0.2801324503311253,6.51
DELL Inspiron Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SS...,4.1,585,48,3.8333333333333335,0.26666666666666616,6.5
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SS...,4.1,212,19,3.8421052631578947,0.25789473684210495,6.29
Acer AMD Ryzen 3 Quad Core 5300U - (16 GB/512 GB SSD/Windows 1...,4.1,212,19,3.8421052631578947,0.25789473684210495,6.29
